article_name,country,revision_id,article_quality_est.,population
Ay Khorn,Cambodia,726543872,Stub,15497000
Oung Ouen,Cambodia,726688556,Stub,15497000
List of Deputy Prime Ministers of Cambodia,Cambodia,730617957,Stub,15497000
Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264,Stub,15497000
Chuop Hell,Cambodia,735512767,Stub,15497000
Kong Korm,Cambodia,736093077,Stub,15497000
Chan Nak,Cambodia,736538934,Stub,15497000
Huy Kanthoul,Cambodia,736539294,Stub,15497000
Vorn Vet,Cambodia,736715950,Stub,15497000
Yat Hwaidi,Cambodia,737025619,Stub,15497000
Khim Tit,Cambodia,737804996,Stub,15497000
Son Chhay,Cambodia,738180794,Start,15497000
Kep Chuktema,Cambodia,738478052,Start,15497000
Nuth Rumduol,Cambodia,738512371,Stub,15497000
Khieu Thavika,Cambodia,738804016,Stub,15497000
Norodom Phurissara,Cambodia,738987957,Start,15497000
Daran Kravanh,Cambodia,738989624,Stub,15497000
Sisowath Monireth,Cambodia,738992094,Start,15497000
Sisowath Youtevong,Cambodia,738992441,Stub,15497000
Ou Chanrith,Cambodia,739217591,Stub,15497000
Yem Ponhearith,Cambodia,741680078,Stub,15497000
Chrea Sochenda,Cambodia,741923960,Stub,15497000
Vong Kan,Cambodia,742006559,Stub,15497000
Yos Son,Cambodia,742067282,Stub,15497000
Hun Many,Cambodia,744291790,Stub,15497000
Chhean Vam,Cambodia,747052284,Stub,15497000
Oum Chheang Sun,Cambodia,747052769,Stub,15497000
Norodom Kantol,Cambodia,747053219,Stub,15497000
Khieu Rada,Cambodia,747555899,Start,15497000
Ieu Koeus,Cambodia,747628491,Stub,15497000
Cheng Heng,Cambodia,747784875,Start,15497000
Mok Mareth,Cambodia,747945224,Start,15497000
Kieng Vang,Cambodia,748137241,Stub,15497000
Sisowath Watchayavong,Cambodia,748488170,Stub,15497000
Sokhom So,Cambodia,749156496,Stub,15497000
Min Sean,Cambodia,749304614,Stub,15497000
Y Chhean,Cambodia,749338398,Stub,15497000
Poa Bun Sreu,Cambodia,749357713,Stub,15497000
Toan Vanthara,Cambodia,749387326,Stub,15497000
Sok Soty,Cambodia,749388858,Stub,15497000
Pal Sam Oeun,Cambodia,749396845,Stub,15497000
Ngor Sovann,Cambodia,749470256,Stub,15497000
Kea Sahorn,Cambodia,749510551,Stub,15497000
Suos Kanan,Cambodia,749517390,Stub,15497000
Im Chhun Lim,Cambodia,749537624,Stub,15497000
Tram Iv Teuk,Cambodia,749537772,Stub,15497000
Hem Khorn,Cambodia,749561164,Stub,15497000
Um Nhanh,Cambodia,749569686,Stub,15497000
Poa Try,Cambodia,749570183,Stub,15497000
Yim Chhaily,Cambodia,749683882,Stub,15497000
Ith Prang,Cambodia,749704384,Stub,15497000
Try Chheang Huot,Cambodia,749710492,Stub,15497000
Suk Sam Eng,Cambodia,749945690,Stub,15497000
Nim Thot,Cambodia,749967879,Stub,15497000
Ngin Khorn,Cambodia,749970189,Stub,15497000
Sorn Inthor,Cambodia,749977252,Stub,15497000
You Hockry,Cambodia,750055098,Stub,15497000
Samrith Pech,Cambodia,750074445,Stub,15497000
Un Neung,Cambodia,750077042,Stub,15497000
Bou Thang,Cambodia,750179637,Stub,15497000
Peter Khoy Saukam,Cambodia,751227068,Start,15497000
Tuot Saron,Cambodia,752967379,Start,15497000
Phoeurng Sackona,Cambodia,752979708,Stub,15497000
Nhek Bun Chhay,Cambodia,753086260,Stub,15497000
Cheam Yeab,Cambodia,753684881,Stub,15497000
Chea Poch,Cambodia,753689952,Stub,15497000
Chin Bun Sean,Cambodia,753692176,Stub,15497000
Chhim Siek Leng,Cambodia,753695057,Stub,15497000
Chea Soth,Cambodia,753711610,Stub,15497000
Ke Pauk,Cambodia,754318281,Stub,15497000
Kong Sam Ol,Cambodia,754944744,Stub,15497000
Pho Proeung,Cambodia,755504987,Stub,15497000
San Yun,Cambodia,756129985,Stub,15497000
Tiv Ol,Cambodia,756722795,Start,15497000
Son Ngoc Thanh,Cambodia,758665997,C,15497000
Monovithya Kem,Cambodia,759510662,Stub,15497000
Mom Chim Huy,Cambodia,761412104,Stub,15497000
Norodom Norindeth,Cambodia,761941416,Start,15497000
Hem Heng,Cambodia,763098565,Start,15497000
Chum Bunrong,Cambodia,763098588,Stub,15497000
Duong Vanna,Cambodia,763316692,Stub,15497000
Chhay Tan,Cambodia,763968613,Stub,15497000
Keat Chhon,Cambodia,765244120,Stub,15497000
Ang Vong Vathana,Cambodia,765375452,Stub,15497000
Keo Remy,Cambodia,766576352,Stub,15497000
Sun Chanthol,Cambodia,766834612,Start,15497000
Khieu Kanharith,Cambodia,766836319,Stub,15497000
Chay Saing Yun,Cambodia,767217618,Stub,15497000
Ek Sam Ol,Cambodia,767218020,Stub,15497000
Ouk Rabun,Cambodia,767867369,Stub,15497000
Hun Phoeung,Cambodia,768488633,Stub,15497000
Nguon Nhel,Cambodia,769381746,Stub,15497000
Khuon Sodary,Cambodia,769381831,Stub,15497000
Sok Pheng,Cambodia,769447485,Stub,15497000
Say Chhum,Cambodia,769929584,Stub,15497000
Im Sothy,Cambodia,771408501,Stub,15497000
Eng Chhai Eang,Cambodia,773103096,Stub,15497000
Heng Pov,Cambodia,773157273,Start,15497000
Him Chhem,Cambodia,773455924,Stub,15497000
Ho Non,Cambodia,773694865,Stub,15497000
Ho Vann,Cambodia,773695304,Stub,15497000
Hul Savorn,Cambodia,774100291,Stub,15497000
Pol Hom,Cambodia,776153762,Stub,15497000
Thong Khon,Cambodia,777665222,Stub,15497000
Hor Namhong,Cambodia,777765537,C,15497000
Keo Saphal (Siem Reap politician),Cambodia,778675539,Stub,15497000
Keo Saphal (Takeo politician),Cambodia,778675542,Stub,15497000
Khek Vandy,Cambodia,778806364,Stub,15497000
Khun Haing,Cambodia,778825745,Stub,15497000
Khy Taing Lim,Cambodia,778830534,Stub,15497000
Kimsour Phirith,Cambodia,778947267,Stub,15497000
Kuoch Ky,Cambodia,779440080,Stub,15497000
Kuoy Bunroeun,Cambodia,779441002,Stub,15497000
Chou Bun Eng,Cambodia,779541149,Start,15497000
Ke Sovannaroth,Cambodia,779541334,Stub,15497000
Norodom Rattana Devi,Cambodia,779541359,Stub,15497000
Norodom Vichara,Cambodia,779541415,Stub,15497000
Nin Saphon,Cambodia,779541481,Stub,15497000
Tioulong Saumura,Cambodia,779541578,Start,15497000
Som Kimsuor,Cambodia,779541650,Stub,15497000
Suy Sem,Cambodia,780608915,Stub,15497000
Sourn Serey Ratha,Cambodia,780691538,Stub,15497000
Ly Son,Cambodia,782622853,Stub,15497000
Ly Thuch,Cambodia,782622857,Stub,15497000
List of heads of state of Cambodia,Cambodia,782894395,C,15497000
Son Sann,Cambodia,783107330,C,15497000
Mam Bun Neang,Cambodia,783142781,Stub,15497000
Chan Sarun,Cambodia,783239117,Stub,15497000
Mao Monyvann,Cambodia,783294124,Stub,15497000
Men Sam An,Cambodia,784442393,Stub,15497000
Mey Norn,Cambodia,784629286,Stub,15497000
Sok An,Cambodia,784962640,C,15497000
Yem Sambaur,Cambodia,786198076,Start,15497000
Yim Sovann,Cambodia,786409843,C,15497000
Ek Yi Oun,Cambodia,786826707,Stub,15497000
Lu Laysreng,Cambodia,787016670,Stub,15497000
Math Ly,Cambodia,787260537,Stub,15497000
Chem Widhya,Cambodia,787978108,Start,15497000
Pa Socheatvong,Cambodia,788070748,Stub,15497000
Governor of Phnom Penh,Cambodia,788070776,Stub,15497000
Son Sen,Cambodia,788368060,C,15497000
Pen Sovan,Cambodia,788398926,Start,15497000
Sak Sutsakhan,Cambodia,788540352,C,15497000
Amath Yashya,Cambodia,788758065,Stub,15497000
Tong Siv Eng,Cambodia,788799479,Stub,15497000
Norodom Chakrapong,Cambodia,788905950,GA,15497000
Prak Sokhon,Cambodia,790023943,Start,15497000
Khieu Samphan,Cambodia,792012094,C,15497000
Sisowath Sirik Matak,Cambodia,792274582,C,15497000
Sam Sary,Cambodia,792556486,Start,15497000
Tou Samouth,Cambodia,792731504,Start,15497000
Yun Yat,Cambodia,793218721,Stub,15497000
Khieu Ponnary,Cambodia,793723115,Start,15497000
Cham Prasidh,Cambodia,793746447,Start,15497000
Ung Huot,Cambodia,794239262,Start,15497000
Veng Sereyvuth,Cambodia,794714434,Stub,15497000
Ieng Mouly,Cambodia,795214039,Stub,15497000
Pou Sothirak,Cambodia,796696955,Stub,15497000
Chea Sim,Cambodia,797224256,C,15497000
Hu Nim,Cambodia,797444265,C,15497000
Sim Var,Cambodia,797618265,Start,15497000
Bin Chhin,Cambodia,797673057,Stub,15497000
Sim Ka,Cambodia,798039997,Stub,15497000
Hou Yuon,Cambodia,798241496,C,15497000
Phiset Phanit,Cambodia,799124051,Stub,15497000
Norodom Sihanouk,Cambodia,799302232,FA,15497000
Pao Ham Phan,Cambodia,799453681,Stub,15497000
Heng Samrin,Cambodia,799719505,Start,15497000
Kang Kek Iew,Cambodia,799772448,C,15497000
Leng Ngeth,Cambodia,800087187,Stub,15497000
Spouse of the Prime Minister of Cambodia,Cambodia,800348414,Stub,15497000
Nhiek Tioulong,Cambodia,801079233,Start,15497000
Keo Puth Rasmey,Cambodia,801523347,Stub,15497000
Khem Veasna,Cambodia,802456666,C,15497000
Tea Banh,Cambodia,802643748,Start,15497000
Ieng Sary,Cambodia,802839704,C,15497000
Son Ngoc Minh,Cambodia,803084525,Start,15497000
List of monarchs of Cambodia,Cambodia,803230439,C,15497000
Ran Serey Leakhena,Cambodia,803481048,Stub,15497000
Lon Non,Cambodia,803936929,C,15497000
Lon Nil,Cambodia,803936986,Start,15497000
Mu Sochua,Cambodia,804631223,C,15497000
Penn Nouth,Cambodia,804717865,Start,15497000
Hang Chuon Naron,Cambodia,804785628,Start,15497000
Hong Sun Huot,Cambodia,805459200,Stub,15497000
Sam Rainsy,Cambodia,805740662,C,15497000
Nuon Chea,Cambodia,805876135,C,15497000
Kao Kim Hourn,Cambodia,805905770,B,15497000
Ieng Thirith,Cambodia,806833311,C,15497000
Chau Sen Cocsal Chhum,Cambodia,806931313,C,15497000
Sar Kheng,Cambodia,806997998,GA,15497000
Aun Pornmoniroth,Cambodia,807003284,Start,15497000
Lon Nol,Cambodia,807025761,GA,15497000
Robert Douglas Cook,Canada,401577829,Stub,38190000
List of Canadian incumbents by year,Canada,477962574,Stub,38190000
List of 2009 Canadian incumbents,Canada,632008524,Start,38190000
